Format Version,1.21,Take Name,piernadercr,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-11-16 04.18.21.328 PM,Total Frames in Take,1891,Total Exported Frames,474,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.9,-0.008157,-0.218034,0.034427,0.9753,-0.048742,1.69533,-0.035265,0.000272,-0.5414,0.333471,-0.045937,-0.770437,-0.077863,0.787907,0.256945,0.000715,0.466617,-0.153369,-0.177653,-0.852752,-0.096065,0.790171,-0.264924,0.00082,-0.00456,0.060212,-0.003102,-0.99817,0.013761,0.067685,0.198634,0.00031,Empty,Empty,Empty,-0.999964,Empty,Empty,Empty,0.000464,0.024029,-0.00165,0.012158,0.999636,0.075319,1.359761,0.003136,0.001722
28,0.933333,-0.007869,-0.217628,0.0347,0.975383,-0.0485,1.695308,-0.035296,0.00028,-0.541678,0.334586,-0.0451,-0.769807,-0.079291,0.788598,0.256543,0.000704,0.467839,-0.156688,-0.175869,-0.851848,-0.096888,0.790291,-0.264425,0.000653,-0.004502,0.060232,-0.002982,-0.99817,0.013768,0.067698,0.198625,0.000295,Empty,Empty,Empty,-0.999964,Empty,Empty,Empty,0.000477,0.022689,0.001762,0.011797,0.999672,0.076008,1.359433,0.002736,0.001482
29,0.966667,-0.007328,-0.217062,0.034806,0.97551,-0.04819,1.695296,-0.035411,0.000236,-0.539716,0.336795,-0.042248,-0.770384,-0.080372,0.789052,0.256169,0.00075,0.451592,-0.171774,-0.183229,-0.856146,-0.097983,0.79084,-0.264136,0.00057,-0.004369,0.060257,-0.002867,-0.998169,0.013783,0.067711,0.198617,0.000297,Empty,-0.008521,Empty,-0.999963,Empty,Empty,Empty,0.000464,0.022766,0.00238,0.011665,0.99967,0.07635,1.359442,0.002539,0.001481
30,1,-0.007276,-0.21642,0.034777,0.975654,-0.047823,1.695278,-0.035542,0.000233,-0.539414,0.338135,-0.041586,-0.770044,-0.081246,0.789482,0.255821,0.00074,0.431274,-0.189811,-0.192256,-0.860821,-0.099019,0.791726,-0.264009,0.000671,-0.004407,0.060637,-0.002602,-0.998147,0.013793,0.067696,0.19869,0.000422,Empty,-0.008502,Empty,-0.999963,Empty,Empty,Empty,0.000459,0.024186,-0.000691,0.012177,0.999633,0.076173,1.359853,0.00256,0.001443
31,1.033333,-0.007363,-0.215831,0.034666,0.975787,-0.047401,1.695247,-0.035703,0.000265,-0.539513,0.339025,-0.042449,-0.769536,-0.081905,0.789919,0.255621,0.000727,0.410544,-0.205937,-0.208771,-0.863399,-0.099795,0.79241,-0.263948,0.000721,-0.004221,0.060268,-0.002539,-0.99817,0.013835,0.067719,0.198601,0.000304,Empty,-0.00854,Empty,-0.999963,Empty,Empty,Empty,0.000458,0.021662,0.000577,0.011995,0.999693,0.07637,1.359838,0.00146,0.0015
32,1.066667,-0.007583,-0.215841,0.034508,0.975789,-0.046974,1.695242,-0.035889,0.000239,-0.538297,0.339504,-0.042012,-0.770201,-0.082129,0.790166,0.255462,0.000694,0.399301,-0.218857,-0.229009,-0.860358,-0.100021,0.79222,-0.263448,0.000827,-0.00392,0.060431,-0.002349,-0.998162,0.013882,0.067706,0.19862,0.000314,Empty,-0.008553,Empty,-0.999963,Empty,Empty,Empty,0.000451,0.021525,0.001231,0.011811,0.999698,0.076734,1.359869,0.001304,0.00143
33,1.1,-0.007441,-0.215854,0.034645,0.975783,-0.046563,1.695223,-0.036043,0.00025,-0.537404,0.34056,-0.042108,-0.770352,-0.081936,0.790273,0.255299,0.000684,0.387716,-0.232633,-0.231484,-0.861379,-0.100449,0.792312,-0.263314,0.000895,-0.003887,0.060444,-0.002278,-0.998161,0.01388,0.067714,0.198618,0.00032,Empty,-0.008578,Empty,-0.999962,Empty,Empty,Empty,0.000449,0.021358,0.001744,0.011291,0.999707,0.077069,1.359953,0.001159,0.001329
34,1.133333,-0.007355,-0.215846,0.034694,0.975783,-0.04614,1.695232,-0.036137,0.000264,-0.537955,0.340706,-0.042809,-0.769864,-0.081474,0.790284,0.255249,0.000709,0.374345,-0.239042,-0.237242,-0.863968,-0.101018,0.792705,-0.264351,0.00054,-0.003824,0.060404,-0.002232,-0.998164,0.013894,0.067713,0.198607,0.000316,Empty,-0.00856,Empty,-0.999962,Empty,Empty,Empty,0.00045,0.021226,0.002414,0.011129,0.99971,0.07732,1.360011,0.000896,0.001236
35,1.166667,-0.007035,-0.215362,0.033884,0.975921,-0.045697,1.695328,-0.036167,0.000308,-0.537342,0.339875,-0.041806,-0.770715,-0.080704,0.790195,0.255435,0.000771,0.366057,-0.237119,-0.237563,-0.867952,-0.101238,0.792975,-0.265809,0.000696,-0.004075,0.060672,-0.002218,-0.998147,0.01386,0.067734,0.198677,0.000417,Empty,-0.008572,Empty,-0.999962,Empty,Empty,Empty,0.000453,0.023291,0.005104,0.011198,0.999653,0.078093,1.35951,0.000948,0.001435
36,1.2,-0.007594,-0.214904,0.033306,0.976038,-0.045274,1.695332,-0.036281,0.000295,-0.539057,0.338604,-0.042955,-0.770013,-0.079553,0.790018,0.255654,0.000812,0.354834,-0.232132,-0.229291,-0.876147,-0.101546,0.793936,-0.267946,0.000757,-0.004003,0.060693,-0.002128,-0.998146,0.013866,0.067741,0.198669,0.000415,Empty,-0.008593,Empty,-0.999962,Empty,Empty,Empty,0.000447,0.023162,0.005258,0.01125,0.999655,0.078313,1.359568,0.000806,0.001439
37,1.233333,-0.007363,-0.214864,0.033242,0.97605,-0.044953,1.695347,-0.036479,0.000228,-0.537498,0.337396,-0.044872,-0.771522,-0.078428,0.789867,0.255615,0.000659,0.348178,-0.227586,-0.22231,-0.881791,-0.101486,0.795001,-0.269726,0.001066,-0.003916,0.060753,-0.002165,-0.998143,0.013884,0.067738,0.198663,0.000433,Empty,-0.008618,Empty,-0.999961,Empty,Empty,Empty,0.000449,0.023105,0.005635,0.010473,0.999662,0.078491,1.359668,0.000701,0.001419
38,1.266667,-0.007176,-0.21552,0.033397,0.975902,-0.044674,1.695367,-0.036586,0.000239,-0.538221,0.337163,-0.046546,-0.77102,-0.077436,0.789641,0.255738,0.00065,0.340955,-0.220144,-0.20922,-0.88967,-0.101506,0.795989,-0.271351,0.000956,-0.003996,0.060693,-0.002169,-0.998146,0.01387,0.067747,0.198664,0.000413,Empty,-0.008612,Empty,-0.999961,Empty,Empty,Empty,0.000451,0.023259,0.005795,0.01017,0.999661,0.078705,1.359736,0.000599,0.001402
39,1.3,-0.007094,-0.216455,0.033426,0.975694,-0.044379,1.695356,-0.036654,0.000246,-0.538352,0.336447,-0.047304,-0.771196,-0.076198,0.78921,0.256061,0.000811,0.338791,-0.211695,-0.19575,-0.895593,-0.101374,0.796847,-0.272656,0.00066,-0.003918,0.060694,-0.002216,-0.998146,0.013858,0.067746,0.198655,0.000415,Empty,-0.008599,Empty,-0.999961,Empty,Empty,Empty,0.000448,0.02337,0.006186,0.009909,0.999659,0.079006,1.359805,0.000529,0.001371
40,1.333333,-0.006892,-0.217175,0.033525,0.975532,-0.044097,1.695357,-0.036629,0.000249,-0.537755,0.336022,-0.048643,-0.771714,-0.075348,0.788943,0.256414,0.000687,0.345665,-0.206822,-0.193497,-0.894595,-0.101259,0.797031,-0.273394,0.000571,-0.00391,0.060688,-0.002259,-0.998147,0.013853,0.067745,0.198654,0.000422,Empty,-0.00861,Empty,-0.999961,Empty,Empty,Empty,0.000453,0.023528,0.006207,0.0096,0.999658,0.07922,1.359847,0.000434,0.001346
41,1.366667,-0.006517,-0.21746,0.033582,0.97547,-0.043869,1.695388,-0.036544,0.000264,-0.538054,0.334687,-0.050907,-0.77194,-0.074494,0.788717,0.256699,0.000617,0.357453,-0.209127,-0.206885,-0.886393,-0.100953,0.796457,-0.27335,0.000536,-0.003889,0.060699,-0.002303,-0.998146,0.013847,0.067749,0.198658,0.000411,Empty,-0.008594,Empty,-0.999961,Empty,Empty,Empty,0.000454,0.023824,0.005857,0.009525,0.999654,0.079426,1.359844,0.000377,0.001356
