Format Version,1.21,Take Name,Take 2017-12-04 07.34.48 PM,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-12-04 07.34.48.522 PM,Total Frames in Take,2375,Total Exported Frames,595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.466667,-0.560091,0.372933,-0.362456,-0.64486,-0.100869,0.813763,0.269256,0.000882,-0.057974,-0.129997,0.039023,0.989049,-0.052597,0.810409,-0.279734,0.00049,0.113613,-0.104487,0.00181,-0.988014,-0.019042,0.07763,-0.199707,0.000894,-0.218082,0.105703,-0.18713,-0.951971,-0.026509,0.076465,0.207735,0.000942,0.011487,0.263511,-0.047215,-0.963432,-0.004949,1.710438,-0.020194,0.00019,-0.005661,-0.112562,-0.010744,0.99357,0.075345,1.284168,0.019429,0.001342
15,0.5,-0.559957,0.372735,-0.359659,-0.646655,-0.101859,0.814279,0.269082,0.000973,-0.052532,-0.135713,0.032749,0.988812,-0.053001,0.810531,-0.279379,0.000456,0.113629,-0.104417,0.001818,-0.988019,-0.019016,0.077626,-0.199702,0.000873,-0.218368,0.105599,-0.187098,-0.951923,-0.026456,0.076451,0.207766,0.000944,0.0115,0.267215,-0.047203,-0.962411,-0.004695,1.710461,-0.019966,0.000163,-0.00584,-0.111752,-0.010476,0.993664,0.075369,1.284202,0.019353,0.001307
16,0.533333,-0.56191,0.371146,-0.355937,-0.647932,-0.102148,0.81446,0.269318,0.000907,-0.052521,-0.139087,0.030046,0.98843,-0.053561,0.810469,-0.278861,0.000439,0.113608,-0.104494,0.001859,-0.988014,-0.01904,0.077638,-0.19971,0.000898,-0.218192,0.105935,-0.186746,-0.951996,-0.026507,0.076439,0.207757,0.000939,0.011313,0.269899,-0.046831,-0.961683,-0.004444,1.710466,-0.019829,0.00015,-0.005904,-0.111285,-0.010487,0.993716,0.075397,1.284226,0.01928,0.001284
17,0.566667,-0.564045,0.369948,-0.353485,-0.648105,-0.102008,0.814538,0.269646,0.00092,-0.055207,-0.140482,0.029251,0.98811,-0.054537,0.810511,-0.278175,0.000431,0.113636,-0.104495,0.001881,-0.98801,-0.019029,0.077643,-0.199711,0.000898,-0.218281,0.105782,-0.186991,-0.951944,-0.026458,0.076482,0.207735,0.000984,0.010914,0.270842,-0.046822,-0.961422,-0.004277,1.710492,-0.019718,0.000192,-0.005871,-0.111062,-0.010555,0.99374,0.075453,1.284231,0.019174,0.001261
18,0.6,-0.565517,0.368999,-0.352167,-0.64808,-0.101665,0.814762,0.27005,0.000958,-0.055508,-0.14132,0.026533,0.98805,-0.055815,0.810683,-0.277666,0.000407,0.11361,-0.104498,0.001911,-0.988013,-0.019023,0.077638,-0.199706,0.000898,-0.218106,0.105941,-0.186771,-0.95201,-0.026481,0.076447,0.207756,0.000955,0.010281,0.270401,-0.046962,-0.961547,-0.004239,1.710538,-0.019678,0.000162,-0.005965,-0.110888,-0.010397,0.993761,0.075552,1.284264,0.019083,0.001246
19,0.633333,-0.566665,0.367469,-0.350911,-0.648628,-0.101139,0.814963,0.270596,0.000972,-0.05547,-0.143095,0.023007,0.987885,-0.057369,0.811037,-0.277386,0.000433,0.113617,-0.104504,0.001974,-0.988011,-0.019019,0.077636,-0.19971,0.000898,-0.218281,0.105785,-0.187031,-0.951936,-0.02645,0.076475,0.207725,0.000972,0.009552,0.268107,-0.047026,-0.962193,-0.004328,1.710563,-0.019583,0.00015,-0.006189,-0.110691,-0.010246,0.993783,0.075698,1.284313,0.018976,0.001249
20,0.666667,-0.56762,0.366306,-0.349602,-0.649158,-0.100562,0.815073,0.271297,0.000939,-0.057355,-0.144741,0.020448,0.987594,-0.059028,0.811452,-0.277128,0.000468,0.113619,-0.104533,0.002022,-0.988008,-0.019005,0.077641,-0.199716,0.000891,-0.218062,0.105938,-0.186713,-0.952032,-0.026497,0.076449,0.207743,0.000941,0.008433,0.265141,-0.047271,-0.963013,-0.004519,1.710608,-0.019527,0.000173,-0.006489,-0.110247,-0.010237,0.99383,0.075927,1.28433,0.018801,0.00126
21,0.7,-0.566504,0.364808,-0.349761,-0.650889,-0.099945,0.815279,0.272049,0.000897,-0.059493,-0.14624,0.016141,0.987327,-0.060946,0.811942,-0.276852,0.000463,0.113628,-0.104543,0.002081,-0.988006,-0.018994,0.077642,-0.199711,0.000889,-0.218062,0.105871,-0.186804,-0.952021,-0.026465,0.07643,0.207752,0.000908,0.00732,0.261814,-0.048096,-0.963892,-0.004819,1.710669,-0.019502,0.000203,-0.006704,-0.109536,-0.010173,0.993908,0.076186,1.284302,0.018608,0.00127
22,0.733333,-0.568095,0.364051,-0.348526,-0.650588,-0.099356,0.815474,0.272585,0.000906,-0.060577,-0.146967,0.009792,0.987236,-0.063365,0.812746,-0.276598,0.000392,0.113559,-0.104537,0.002146,-0.988014,-0.01896,0.077643,-0.19972,0.000878,-0.218123,0.106007,-0.18662,-0.952028,-0.02647,0.076434,0.207717,0.000941,0.00664,0.25868,-0.048949,-0.964699,-0.005151,1.710703,-0.019496,0.000189,-0.006938,-0.108595,-0.010149,0.99401,0.076405,1.284284,0.018369,0.001281
23,0.766667,-0.569449,0.363363,-0.346338,-0.650957,-0.098817,0.815757,0.273198,0.00094,-0.062878,-0.147261,0.004079,0.987089,-0.066301,0.813826,-0.276321,0.000384,0.113628,-0.104533,0.002171,-0.988007,-0.018955,0.077636,-0.199712,0.00087,-0.218042,0.10596,-0.186689,-0.952039,-0.026475,0.076445,0.207729,0.000929,0.006096,0.256314,-0.049525,-0.965305,-0.005304,1.710722,-0.019453,0.000193,-0.006902,-0.10788,-0.009984,0.99409,0.07663,1.284309,0.018102,0.001278
24,0.8,-0.569503,0.362508,-0.345156,-0.652013,-0.098147,0.816202,0.273949,0.000893,-0.063035,-0.148913,-0.00386,0.986832,-0.069511,0.815106,-0.276063,0.000387,0.113585,-0.104549,0.002265,-0.98801,-0.018952,0.077633,-0.199711,0.000865,-0.217996,0.106015,-0.186586,-0.952063,-0.026468,0.07646,0.207718,0.000927,0.005579,0.254567,-0.049827,-0.965755,-0.005292,1.710741,-0.019426,0.000209,-0.006847,-0.107225,-0.00992,0.994162,0.076819,1.284336,0.017862,0.001268
25,0.833333,-0.57036,0.360633,-0.343132,-0.653371,-0.097081,0.816474,0.274703,0.001011,-0.064783,-0.153434,-0.014058,0.985933,-0.073298,0.816518,-0.275863,0.000367,0.113528,-0.104598,0.002276,-0.988011,-0.018942,0.077656,-0.199721,0.000883,-0.2179,0.106084,-0.186553,-0.952084,-0.026448,0.076466,0.207713,0.000944,0.005269,0.253674,-0.049838,-0.965991,-0.005171,1.710734,-0.019353,0.000216,-0.006832,-0.106615,-0.009878,0.994228,0.076988,1.28437,0.01759,0.001245
26,0.866667,-0.571419,0.358397,-0.34155,-0.654504,-0.095513,0.816444,0.275847,0.000954,-0.066917,-0.156517,-0.022619,0.985146,-0.077904,0.81854,-0.275847,0.000303,0.113554,-0.104527,0.002402,-0.988015,-0.0189,0.077644,-0.199727,0.000849,-0.217952,0.105915,-0.18662,-0.952078,-0.026396,0.076444,0.20773,0.000912,0.005012,0.253153,-0.049498,-0.966146,-0.005024,1.710694,-0.019253,0.000213,-0.006835,-0.105792,-0.009687,0.994318,0.077163,1.284375,0.01735,0.001245
27,0.9,-0.571925,0.356629,-0.342556,-0.654502,-0.093404,0.816149,0.277098,0.000926,-0.068028,-0.157315,-0.03642,0.984529,-0.082962,0.820823,-0.276149,0.00031,0.113556,-0.104557,0.002426,-0.988012,-0.01889,0.077647,-0.199734,0.000854,-0.217976,0.106003,-0.186414,-0.952103,-0.026389,0.076493,0.207732,0.000941,0.0048,0.2525,-0.049313,-0.966328,-0.004924,1.710669,-0.019165,0.000212,-0.012096,-0.097996,-0.010884,0.995054,0.077127,1.284709,0.018817,0.001555
