X Head,Y Head,Z Head,WX Head,WY Head,WZ Head,X Torso,Y Torso,Z Torso,WX Torso,WY Torso,WZ Torso,X RArm,Y RArm,Z RArm,WX RArm,WY RArm,WZ RArm,X LArm,Y LArm,Z LArm,WX LArm,WY LArm,WZ LArm
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016709,0.050645,1.207422,-0.003662,0.011952,0.00699,-0.4307,-0.251502,1.065014,0.382533,-0.809184,0.03629,-0.166847,0.504077,1.051544,0.173767,0.219036,0.228832
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016715,0.050641,1.207422,-0.003609,0.011949,0.00699,-0.437466,-0.254595,1.08147,0.382164,-0.801082,0.040677,-0.168993,0.503739,1.068051,0.182431,0.231971,0.225186
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016693,0.05064,1.207422,-0.003479,0.011952,0.00699,-0.443471,-0.258005,1.098539,0.381461,-0.792225,0.046867,-0.171507,0.503408,1.085412,0.196577,0.241395,0.219775
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016684,0.050646,1.207422,-0.003385,0.011957,0.00699,-0.448741,-0.262057,1.116117,0.380416,-0.783493,0.0515,-0.174215,0.503287,1.103854,0.208485,0.253756,0.212857
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016653,0.050647,1.207422,-0.003293,0.011965,0.00699,-0.453887,-0.266976,1.134167,0.380592,-0.775501,0.054661,-0.177266,0.50311,1.12303,0.221849,0.266558,0.206949
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016616,0.050655,1.207422,-0.00321,0.011979,0.00699,-0.458305,-0.272865,1.152747,0.380819,-0.768007,0.060367,-0.180857,0.502861,1.142654,0.235962,0.280014,0.201815
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016582,0.050657,1.207422,-0.003133,0.011998,0.00699,-0.462322,-0.279679,1.172002,0.378819,-0.759389,0.06069,-0.185302,0.50251,1.1629,0.247715,0.293066,0.198347
-0.028278,-0.024872,1.762577,0.024223,-0.0121,0.659724,0.016542,0.050647,1.207422,-0.003078,0.012059,0.00699,-0.465806,-0.287098,1.191815,0.375311,-0.749595,0.062417,-0.190648,0.502031,1.1837,0.25754,0.305107,0.192259
-0.028278,-0.024872,1.762577,0.024223,-0.012213,0.659724,0.016492,0.050654,1.207422,-0.00299,0.01215,0.00699,-0.468646,-0.294755,1.211991,0.367858,-0.740784,0.065138,-0.19692,0.501549,1.204897,0.266009,0.320116,0.184976
-0.028278,-0.024872,1.762577,0.024223,-0.012181,0.659724,0.016441,0.050659,1.207422,-0.002871,0.012228,0.00699,-0.470831,-0.302358,1.23259,0.361574,-0.732424,0.069775,-0.204091,0.501333,1.226283,0.276319,0.338108,0.177827
-0.028278,-0.024872,1.762577,0.024223,-0.012053,0.659724,0.016394,0.05066,1.207422,-0.002767,0.012257,0.00699,-0.472774,-0.309746,1.253504,0.356237,-0.719905,0.073978,-0.211972,0.501536,1.247534,0.287427,0.35382,0.173109
-0.028278,-0.024872,1.762577,0.024223,-0.011976,0.659724,0.016337,0.050653,1.207422,-0.002692,0.012259,0.00699,-0.47437,-0.317027,1.274172,0.353464,-0.709782,0.079045,-0.220352,0.501897,1.268614,0.297285,0.366688,0.167297
-0.028278,-0.024872,1.762577,0.024223,-0.011891,0.659724,0.016251,0.050632,1.207422,-0.002656,0.012215,0.00699,-0.475772,-0.324183,1.295325,0.35271,-0.702394,0.079178,-0.229464,0.50231,1.289532,0.3068,0.377325,0.161646
-0.028278,-0.024872,1.762577,0.024223,-0.011723,0.659733,0.016184,0.050615,1.207422,-0.002613,0.011204,0.00699,-0.477183,-0.331306,1.31649,0.351415,-0.693623,0.079263,-0.239048,0.502939,1.310323,0.319332,0.386328,0.156809
-0.028278,-0.024872,1.762577,0.024223,-0.011782,0.65974,0.0161,0.050589,1.207422,-0.002623,0.011105,0.00699,-0.477845,-0.338405,1.337727,0.348472,-0.682129,0.079894,-0.249145,0.50369,1.330644,0.328461,0.399331,0.150992
-0.028278,-0.024872,1.762577,0.024223,-0.011995,0.659663,0.016019,0.050566,1.207422,-0.002636,0.010976,0.00699,-0.478031,-0.345487,1.358776,0.347047,-0.671675,0.080741,-0.259661,0.504521,1.350732,0.333631,0.411013,0.144836
-0.028278,-0.024872,1.762577,0.024223,-0.012159,0.659538,0.015938,0.050516,1.207422,-0.002576,0.010811,0.00699,-0.478027,-0.352592,1.379285,0.343876,-0.658768,0.082623,-0.270525,0.505723,1.370579,0.336203,0.424095,0.138618
-0.028278,-0.024872,1.762577,0.024223,-0.011982,0.659298,0.015865,0.050479,1.207422,-0.002562,0.010691,0.00699,-0.478091,-0.359777,1.398386,0.337983,-0.64724,0.085432,-0.281571,0.506771,1.390146,0.34261,0.436804,0.134238
-0.028278,-0.024872,1.762577,0.024223,-0.011827,0.659055,0.015782,0.050433,1.207422,-0.002522,0.010539,0.00699,-0.477969,-0.366873,1.416325,0.329327,-0.640153,0.088185,-0.292604,0.507577,1.40897,0.351629,0.448111,0.129131
-0.028278,-0.024872,1.762577,0.024223,-0.011548,0.658941,0.015715,0.050392,1.207422,-0.00254,0.010383,0.00699,-0.477715,-0.373893,1.432976,0.321505,-0.634065,0.090729,-0.303596,0.50812,1.427053,0.359938,0.456569,0.125188
