Format Version,1.21,Take Name,Rutina_Circulos_Lennon,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-11-27 08.00.40.658 PM,Total Frames in Take,2367,Total Exported Frames,593,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,3.466667,0.013634,-0.009804,-0.03181,-0.999353,-0.007136,1.67603,-0.019039,0.000729,0.040131,-0.032879,0.062738,-0.996681,0.107203,1.310965,0.005126,0.002606,-0.240748,0.646074,-0.720864,0.070592,-0.511451,1.206585,0.291263,0.001011,0.058405,-0.020378,0.04405,0.997112,-0.030039,0.053993,-0.204784,0.001602,0.013248,-0.208413,0.006662,0.977928,0.028386,0.050268,0.190491,0.000931,-0.107461,-0.16226,0.602115,-0.774327,-0.491935,1.515746,-0.300171,0.000761
105,3.5,0.014348,-0.009096,-0.032379,-0.999331,-0.007423,1.675931,-0.020282,0.000691,0.040526,-0.031483,0.062724,-0.996711,0.107179,1.311078,0.0046,0.002633,-0.239336,0.646448,-0.720593,0.074624,-0.512526,1.205422,0.286038,0.001025,0.058544,-0.020362,0.044062,0.997104,-0.030052,0.053989,-0.204787,0.001616,0.013261,-0.208418,0.006647,0.977927,0.028391,0.050274,0.190494,0.000929,-0.103037,-0.173956,0.603895,-0.770995,-0.494864,1.517797,-0.286904,0.000795
106,3.533333,0.015926,-0.008398,-0.032956,-0.999295,-0.007579,1.675818,-0.021577,0.000695,0.041033,-0.031047,0.062467,-0.99672,0.107142,1.311146,0.00408,0.002608,-0.235688,0.647261,-0.720687,0.078195,-0.513694,1.205083,0.280128,0.000948,0.058484,-0.020327,0.044076,0.997108,-0.030063,0.053984,-0.20478,0.001611,0.013214,-0.208349,0.006681,0.977943,0.028391,0.050279,0.190486,0.000928,-0.098587,-0.187113,0.604561,-0.767968,-0.497931,1.519029,-0.272573,0.000847
107,3.566667,0.01732,-0.007862,-0.032591,-0.999288,-0.007667,1.675758,-0.022999,0.000739,0.041536,-0.030231,0.062394,-0.996729,0.107265,1.311245,0.003406,0.002698,-0.229738,0.648044,-0.721323,0.083379,-0.515066,1.20522,0.273695,0.000966,0.058443,-0.020349,0.044086,0.997109,-0.030067,0.053985,-0.204777,0.001611,0.013136,-0.208288,0.006706,0.977956,0.028392,0.05029,0.190475,0.000925,-0.095071,-0.198486,0.606002,-0.764412,-0.500976,1.519675,-0.257238,0.000889
108,3.6,0.018212,-0.007546,-0.033302,-0.999251,-0.007591,1.675644,-0.024285,0.000701,0.042038,-0.029398,0.062313,-0.996738,0.107309,1.311361,0.002694,0.002698,-0.225105,0.64718,-0.723363,0.085036,-0.5166,1.206199,0.266219,0.000951,0.058492,-0.020308,0.044174,0.997103,-0.030084,0.053982,-0.204765,0.001617,0.013112,-0.208244,0.006733,0.977966,0.028392,0.050295,0.190469,0.000922,-0.090874,-0.213268,0.605683,-0.761188,-0.504028,1.519187,-0.240827,0.000844
109,3.633333,0.018777,-0.006955,-0.033047,-0.999253,-0.00744,1.675594,-0.025585,0.000725,0.042682,-0.028703,0.062414,-0.996724,0.107467,1.311454,0.002004,0.002668,-0.220273,0.646344,-0.725089,0.089253,-0.518318,1.207804,0.258336,0.001034,0.058568,-0.020287,0.044236,0.997096,-0.030099,0.053982,-0.204754,0.001622,0.013305,-0.208175,0.006823,0.977977,0.028407,0.050316,0.190455,0.000883,-0.086531,-0.2295,0.603123,-0.759003,-0.507005,1.517883,-0.223838,0.000824
110,3.666667,0.020231,-0.00598,-0.033297,-0.999223,-0.007184,1.675517,-0.026961,0.000727,0.005734,-0.098943,0.037928,-0.994354,0.108669,1.30846,0.002454,0.001536,-0.215998,0.646188,-0.726262,0.091269,-0.520034,1.210038,0.249852,0.000962,0.058552,-0.020259,0.044306,0.997095,-0.030115,0.053988,-0.204742,0.001624,0.013338,-0.208129,0.006871,0.977986,0.028401,0.050321,0.190446,0.000887,-0.081705,-0.247675,0.600733,-0.755713,-0.509429,1.515551,-0.206461,0.000863
111,3.7,0.020739,-0.005765,-0.033427,-0.999209,-0.006888,1.67544,-0.028289,0.000719,0.006735,-0.100241,0.03795,-0.994216,0.108986,1.308703,0.001856,0.00162,-0.209072,0.644892,-0.72901,0.094592,-0.521866,1.212975,0.240672,0.000986,0.058648,-0.020235,0.044346,0.997088,-0.03012,0.053986,-0.204738,0.001629,0.012894,-0.208224,0.006532,0.977975,0.028401,0.050314,0.190456,0.000851,-0.077146,-0.263781,0.598489,-0.752515,-0.51151,1.511968,-0.188656,0.000923
112,3.733333,0.021795,-0.005609,-0.033737,-0.999177,-0.006541,1.675348,-0.02959,0.000719,0.007412,-0.101277,0.038327,-0.994092,0.109216,1.308952,0.001218,0.001658,-0.201043,0.643774,-0.731616,0.099371,-0.523712,1.216421,0.230779,0.000978,0.058607,-0.020221,0.044344,0.997091,-0.030123,0.053989,-0.204731,0.001626,0.012826,-0.208168,0.006602,0.977987,0.028406,0.050318,0.190458,0.000853,-0.071756,-0.280731,0.594394,-0.750158,-0.513167,1.507128,-0.170978,0.000908
113,3.766667,0.02264,-0.005072,-0.033776,-0.99916,-0.006052,1.675228,-0.030886,0.000722,0.008451,-0.103074,0.039227,-0.993864,0.109725,1.309342,0.000782,0.001727,-0.192399,0.64418,-0.732874,0.104451,-0.52581,1.220598,0.220398,0.001038,0.058664,-0.02018,0.044401,0.997086,-0.030129,0.05399,-0.204725,0.001633,0.012784,-0.208074,0.00627,0.97801,0.028385,0.050336,0.190475,0.000838,-0.06651,-0.296319,0.590154,-0.74799,-0.514403,1.500541,-0.153667,0.000918
