,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm
,,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,7A3B180DF43411E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,A8373E89F43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,B0F2825EF43611E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583,56CC2419F43711E8D75CBFEB17344583
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
22,0.733333,-0.536241,-0.004959,0.554087,-0.636718,-0.083647,1.746512,-0.010337,0.009532,0.650824,0.009001,-0.759116,-0.051668,1.198514,0.027904,0.191373,-0.303764,0.832435,0.422084,-0.224112,0.897619,-0.226571,0.035833,0.484226,-0.013422,-0.874106,-0.226965,0.895705,0.274093
23,0.766667,-0.536213,-0.004409,0.554496,-0.636388,-0.082403,1.746502,-0.010526,0.002047,0.651136,0.006137,-0.758933,-0.05459,1.198348,0.029413,0.193912,-0.305568,0.828369,0.427587,-0.228779,0.899047,-0.22628,0.041118,0.492379,-0.01242,-0.869321,-0.233332,0.898155,0.275239
24,0.8,-0.536141,-0.0032,0.555036,-0.635986,-0.081006,1.746467,-0.010736,0.002217,0.65117,0.006372,-0.758902,-0.054467,1.198355,0.029296,0.198165,-0.304203,0.826062,0.43106,-0.234429,0.901112,-0.226519,0.04812,0.497794,-0.005312,-0.865943,-0.240566,0.901099,0.276528
25,0.833333,-0.535892,-0.001968,0.555768,-0.635561,-0.079522,1.746412,-0.010931,0.001493,0.650967,0.006342,-0.759078,-0.054292,1.198205,0.029437,0.202169,-0.305256,0.821728,0.436703,-0.241017,0.903642,-0.2272,0.053565,0.505377,-0.001463,-0.861233,-0.248742,0.904415,0.277975
26,0.866667,-0.536,-0.000396,0.556671,-0.634682,-0.078015,1.746399,-0.010958,0.002531,0.651428,0.006699,-0.758676,-0.053954,1.19835,0.029446,0.202241,-0.307817,0.817688,0.442418,-0.248948,0.906879,-0.228233,0.061235,0.510655,0.000646,-0.857602,-0.257933,0.908342,0.279596
27,0.9,-0.536173,0.000771,0.557222,-0.634052,-0.076561,1.74642,-0.010877,0.002713,0.651168,0.006939,-0.758897,-0.053542,1.198379,0.029291,0.206317,-0.309253,0.812432,0.449165,-0.258365,0.910993,-0.229449,0.067805,0.515382,0.006589,-0.854248,-0.268096,0.912757,0.281775
28,0.933333,-0.536558,0.001413,0.557158,-0.63378,-0.075193,1.746467,-0.010611,0.0028,0.651119,0.007045,-0.758938,-0.053106,1.198382,0.029283,0.207041,-0.316076,0.803297,0.460373,-0.26913,0.915974,-0.23101,0.069543,0.510247,0.014661,-0.857086,-0.279093,0.917799,0.284718
29,0.966667,-0.537082,0.001521,0.556769,-0.633679,-0.073869,1.746487,-0.010207,0.003127,0.650607,0.008417,-0.759361,-0.05241,1.198522,0.029604,0.212034,-0.31796,0.796604,0.468364,-0.28106,0.921894,-0.23256,0.068754,0.497378,0.029427,-0.864305,-0.291018,0.923613,0.288455
30,1,-0.537705,0.001579,0.556526,-0.633364,-0.072558,1.746534,-0.009787,0.002848,0.651748,0.006535,-0.758402,-0.052097,1.198272,0.029261,0.213346,-0.320435,0.789255,0.478415,-0.294024,0.928891,-0.234183,0.074436,0.489058,0.043166,-0.867997,-0.30394,0.930698,0.291981
31,1.033333,-0.538091,0.001794,0.556269,-0.633261,-0.071299,1.746592,-0.009362,0.002857,0.652905,0.005774,-0.757412,-0.051599,1.19817,0.028993,0.213137,-0.326223,0.77798,0.492847,-0.30785,0.937095,-0.235771,0.084806,0.487022,0.056648,-0.867415,-0.317765,0.939065,0.294959
32,1.066667,-0.538511,0.00185,0.555781,-0.633332,-0.070143,1.746642,-0.008857,0.00321,0.65217,0.008288,-0.758021,-0.050841,1.198469,0.029551,0.216203,-0.330468,0.76839,0.503611,-0.322345,0.946482,-0.237464,0.094387,0.48831,0.068353,-0.864854,-0.331768,0.948165,0.297472
33,1.1,-0.538768,0.001278,0.555271,-0.633563,-0.069117,1.746711,-0.008396,0.003329,0.652393,0.008804,-0.757822,-0.050221,1.198516,0.029731,0.220018,-0.334586,0.756385,0.517229,-0.337308,0.956863,-0.238985,0.103977,0.489752,0.080518,-0.861886,-0.345768,0.957861,0.299444
34,1.133333,-0.538882,0.000306,0.554799,-0.63388,-0.068115,1.7468,-0.007984,0.003399,0.652627,0.009091,-0.757617,-0.049666,1.198581,0.02993,0.220308,-0.338722,0.745344,0.530277,-0.352349,0.968143,-0.240564,0.116262,0.49426,0.091081,-0.856676,-0.359439,0.968173,0.30064
35,1.166667,-0.538859,-0.00065,0.554335,-0.634305,-0.067147,1.746894,-0.007614,0.003376,0.653044,0.009185,-0.757257,-0.049223,1.198635,0.030146,0.219093,-0.343658,0.733367,0.544124,-0.36701,0.979995,-0.242333,0.129891,0.501125,0.101089,-0.849578,-0.372576,0.978882,0.301086
36,1.2,-0.538731,-0.001272,0.553961,-0.63474,-0.066193,1.746966,-0.007326,0.003384,0.653309,0.009444,-0.757025,-0.04883,1.198732,0.030443,0.219451,-0.349369,0.721613,0.555929,-0.381503,0.992664,-0.244213,0.142398,0.510443,0.111715,-0.840649,-0.384871,0.989782,0.300699
37,1.233333,-0.538333,-0.001485,0.553752,-0.635259,-0.065269,1.747004,-0.007186,0.003291,0.65355,0.009628,-0.756815,-0.048531,1.198818,0.030753,0.220375,-0.352265,0.711766,0.566333,-0.395677,1.005591,-0.246193,0.154989,0.522072,0.119401,-0.830158,-0.39665,1.000694,0.299556
38,1.266667,-0.537837,-0.001655,0.553791,-0.635645,-0.064323,1.746988,-0.00715,0.002923,0.653448,0.009783,-0.756903,-0.048149,1.198831,0.03117,0.220036,-0.355182,0.702642,0.575956,-0.409892,1.019203,-0.248473,0.167062,0.538648,0.125573,-0.816199,-0.408111,1.011758,0.298439
39,1.3,-0.537151,-0.001649,0.553654,-0.636344,-0.063462,1.746963,-0.007122,0.003325,0.653646,0.009899,-0.756728,-0.047651,1.198925,0.031297,0.219486,-0.359619,0.691941,0.586274,-0.424064,1.033579,-0.251462,0.177637,0.551215,0.131539,-0.804553,-0.419556,1.022944,0.297223
40,1.333333,-0.53627,-0.001842,0.553733,-0.637017,-0.06261,1.746933,-0.007092,0.003203,0.653322,0.009941,-0.757008,-0.047039,1.198954,0.031673,0.21843,-0.365601,0.680011,0.596833,-0.438433,1.04908,-0.254762,0.194163,0.559593,0.141215,-0.793231,-0.431441,1.035165,0.296606
41,1.366667,-0.535288,-0.002559,0.553946,-0.637655,-0.061781,1.746943,-0.007033,0.003263,0.6527,0.010553,-0.757536,-0.046494,1.199052,0.032117,0.217831,-0.373984,0.665699,0.607891,-0.452567,1.065928,-0.258106,0.202251,0.567681,0.146787,-0.784402,-0.443574,1.048307,0.296749
42,1.4,-0.534056,-0.00401,0.554588,-0.638122,-0.061006,1.746997,-0.006917,0.003254,0.652076,0.010682,-0.758071,-0.046057,1.19912,0.032439,0.217278,-0.382291,0.650268,0.619513,-0.466226,1.084137,-0.261173,0.214622,0.570014,0.157137,-0.777386,-0.456015,1.063188,0.29725
43,1.433333,-0.532316,-0.005961,0.55594,-0.638385,-0.060229,1.747077,-0.006703,0.003242,0.651434,0.010591,-0.758624,-0.045695,1.19919,0.032672,0.214873,-0.388034,0.636121,0.631355,-0.47933,1.103368,-0.263831,0.227207,0.569223,0.172678,-0.771067,-0.46872,1.079995,0.298019
44,1.466667,-0.531307,-0.008839,0.557662,-0.637689,-0.059517,1.747227,-0.006229,0.003373,0.651042,0.010905,-0.758956,-0.045336,1.199258,0.032957,0.213233,-0.394178,0.619879,0.644131,-0.491923,1.12347,-0.265905,0.243663,0.563197,0.199495,-0.763963,-0.481414,1.099095,0.298924
