Head;Head;Head;Head;Head;Head;;;;;;;;;;;;;;;;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-0.000782;0.642641;-0.028058;0.039546;1765868;-0.019375;0.001580;0.691709;0.006421;0.050227;1215057;0.013525;-0.190150;0.179118;-0.934747;-0.082992;0.877406;-0.260667;0.869222;-0.352476;-0.162234;-0.085193;0.874182;0.266757
-0.000727;0.642788;-0.027920;0.039794;1765860;-0.019269;0.001572;0.691734;0.006471;0.050238;1215046;0.013580;-0.190247;0.178764;-0.934678;-0.083329;0.877503;-0.260569;0.869193;-0.352563;-0.162453;-0.085373;0.874074;0.266569
-0.000504;0.643085;-0.027713;0.040103;1765859;-0.019170;0.001614;0.691757;0.006512;0.050255;1215043;0.013623;-0.190255;0.178627;-0.934513;-0.083671;0.877611;-0.260475;0.869309;-0.352575;-0.162280;-0.085550;0.874008;0.266421
-0.000189;0.643336;-0.027468;0.040426;1765851;-0.019085;0.001629;0.691712;0.006534;0.050268;1215038;0.013645;-0.190070;0.179604;-0.934148;-0.083997;0.877658;-0.260446;0.869450;-0.352463;-0.162101;-0.085744;0.873949;0.266308
0.000018;0.643427;-0.027194;0.040712;1765840;-0.019008;0.001623;0.691647;0.006517;0.050247;1215027;0.013654;-0.189761;0.179987;-0.934021;-0.084193;0.877582;-0.260358;0.869578;-0.352381;-0.161818;-0.085958;0.873904;0.266198
0.000079;0.643478;-0.027036;0.041006;1765831;-0.018922;0.001645;0.691603;0.006581;0.050259;1215012;0.013675;-0.189223;0.179586;-0.934210;-0.084161;0.877490;-0.260148;0.869811;-0.352283;-0.161132;-0.086134;0.873903;0.266116
0.000143;0.643578;-0.026732;0.041334;1765862;-0.018830;0.001683;0.691611;0.006632;0.050275;1215010;0.013697;-0.189729;0.178889;-0.934416;-0.083955;0.877358;-0.259811;0.870081;-0.352259;-0.160206;-0.086352;0.873928;0.266096
0.000288;0.643781;-0.026261;0.041707;1765855;-0.018738;0.001644;0.691691;0.006629;0.050259;1215002;0.013707;-0.190080;0.179011;-0.934383;-0.083677;0.877177;-0.259459;0.869992;-0.352773;-0.159788;-0.086552;0.873871;0.266070
0.000507;0.643883;-0.025548;0.042106;1765857;-0.018653;0.001716;0.691753;0.006665;0.050305;1214985;0.013709;-0.190277;0.179140;-0.934285;-0.083359;0.876967;-0.259103;0.870002;-0.353104;-0.158950;-0.086716;0.873813;0.266027
0.001141;0.643892;-0.024850;0.042456;1765843;-0.018671;0.001762;0.691772;0.006686;0.050347;1214973;0.013716;-0.190417;0.178446;-0.934493;-0.083057;0.876800;-0.258764;0.870091;-0.353160;-0.158174;-0.086788;0.873688;0.265943
